text,location,date
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Maryland, USA",01-Dec-2021
These are the weekly reports in #canada for #COVID19 #Vaccination #AdverseReactions https://t.co/GfiAgOmnzH,"Florida, USA",01-Dec-2021
"I hope everyone that's doing large gatherings this weekend, whether it's attending a sports event,  Emerald City Co?€? https://t.co/EDADXpmBCn","Seattle, WA, USA",01-Dec-2021
"""Under his leadership, Daystar aired repeated baseless anti-vaccine conspiracy theories and claims that vaccines we?€? https://t.co/A8CKYL8U7T","Vermont, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",Moved to USA New Jersey,01-Dec-2021
"RT @US_FDA: Today, we authorized the emergency use of the Pfizer-BioNTech COVID-19 Vaccine for the prevention of #COVID19 to include childr?€?","California, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","New York, USA",01-Dec-2021
RT @kgopinion: Anti-vaccine televangelist Marcus Lamb dies of COVID-19 https://t.co/sI3a5Pfrrr,"Erehwon, USA",01-Dec-2021
"RT @NewsHour: ""Absolutely do not wait"" to get your COVID-19 vaccine booster, @mtosterholm tells @WmBrangham. ""Even if we do have omicron-sp?€?",USA,01-Dec-2021
RT @HHSGov: Amanda thought she?€?d never see her family again after she spent 11 days intubated in a hospital with COVID-19. Her biggest regr?€?,"Pennsylvania, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Florida, USA",01-Dec-2021
"RT @TexasTribune: At least two dozen Texas Republican lawmakers have called for a fourth special session, many looking to ban COVID-19 vacc?€?",USA ,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Pennsylvania, USA",01-Dec-2021
RT @TheInsiderPaper: BREAKING: Defense Secretary Lloyd Austin has decided that National Guard members who refuse COVID-19 vaccination will?€?,"Wyoming, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Massachusetts, USA",01-Dec-2021
RT @JxnFreePress: As countries around the world reach to grasp an understanding of how quickly the new COVID-19 ?€?omicron?€? variant will spre?€?,"Memphis, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","????????? - ???????????? ??????~ WA, USA.",01-Dec-2021
Got my COVID-19 booster shot today at a community vaccine clinic after work. It was great to see so many families s?€? https://t.co/yypNYAi2Sh,"Utah, USA",01-Dec-2021
"RT @DoctoraEdith: I got my 1st dose of the Covid-19 vaccine while ovulating. By the time I got my 2nd, I was pregnant. Then came time for m?€?","Colorado, USA",01-Dec-2021
"RT @beinggerric: Televangelist, Marcus Lamb ,called the vaccine mandate a ""Sin against God"".

Marcus Lamb, was unvaccinated.

Marcus Lamb,?€?","North Carolina, USA",01-Dec-2021
RT @HeyTammyBruce: ???????????? ?€?A U.S. judge on Tuesday blocked a Biden administration COVID-19 vaccination rule for healthcare workers and applied?€?,"Texas, USA",01-Dec-2021
RT @DrHirschfield: My dear physician colleague suddenly passed away after her booster covid-19 vaccine 1 month ago.,"Connecticut, USA",01-Dec-2021
Britain buys 114m extra vaccine doses to battle??Covid-19 https://t.co/MHd3T7EEV0,USA,01-Dec-2021
Abogen raises $300M in series C+ round for COVID-19 vaccine development https://t.co/61XcQK9AbQ,USA,01-Dec-2021
Novavax developing vaccine that targets new COVID-19 variant https://t.co/GCdPHYI5jc,USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Wisconsin, USA",01-Dec-2021
"RT @barbradickerman: 1/
Which mRNA vaccine is more effective?

Our large-scale head-to-head VA study showed:

?€?Low risk of breakthrough inf?€?","Iowa, USA",01-Dec-2021
RT @radionz: Fire and Emergency has done an about-turn after mistakenly trying to block staff who do not show a vaccine pass from doing or?€?,"Arizona, USA",01-Dec-2021
"What do antivaxxers make of this?? They're dropping like flies. That's fake too? Televangelist Marcus Lamb, the fou?€? https://t.co/AqnXwjLFSF","PNW, USA",01-Dec-2021
"RT @JuliaDavisNews: Marcus Lamb, who founded one of the largest Christian TV networks in the world, has died of COVID-19 after promoting an?€?",USA,01-Dec-2021
"RT @NLACRC: Need a digital copy of your COVID-19 vaccine record? 

Visit https://t.co/b6ErqIU5np to access a digital copy of your COVID-19?€?",CA-TX-IL-NY-all USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Montana, USA",01-Dec-2021
"So sorry you ruined your health. Be very aware of your system the coming years?€?game?€?s not over. 

Judge blocks COVI?€? https://t.co/sBxcvpw2z8","Florida, USA",01-Dec-2021
Brain problems found in 1% of hospitalized COVID-19 patients; real-world data shows Moderna vaccine highly effective https://t.co/sZP8iPR8X5,USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",PNW USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",01-Dec-2021
"RT @USIedu: Covid-19 booster vaccines, as well as first and second doses of the Pfizer vaccine, are offered at the USI University Health Ce?€?",USA,01-Dec-2021
RT @The_JBS: Please help to retain your right to refuse vaccinations for COVID-19 (or any other disease) by contacting your state legislato?€?,"Pennsylvania, USA",01-Dec-2021
What pregnant people need to know about the COVID-19 vaccine l GMA https://t.co/9tWmGLkL6Q via @YouTube,"Pennsylvania, USA",01-Dec-2021
"Another loss and it seems it doesn't matter since it is all ""Gods Will"" to these people. I am a Christian and this?€? https://t.co/ogibbT3Gl6",USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Colorado, USA",01-Dec-2021
"Federal judge blocks COVID-19 contractor vaccine mandate, grants AG request | Lexington Herald Leader https://t.co/yYafsGcFBS","Indiana, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Arizona, USA",01-Dec-2021
"Marcus Lamb, founder of Christian network Daystar and vaccine opponent, dies after contracting COVID-19 https://t.co/OceJB9a5UP","Hawaii, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Maryland, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Texas, USA",01-Dec-2021
"RT @AmerIndependent: As Sen. Paul made false claims about the vaccine that he has yet to receive, he also alleged that ""Big Pharma"" had a m?€?","Minnesota, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Texas, USA",01-Dec-2021
Anti-immigrant bigot @GOPChairwoman blames undocumented immigrants for COVID and advocates against vaccine mandates?€? https://t.co/Ts5pAkareB,USA,01-Dec-2021
"RT @EpochTimes: ?€?This is not about vaccines, it?€?s about the mandates,?€? said @OhioAG Dave Yost.

A judge blocked President Biden?€?s #VaccineM?€?",Somewhere in the USA,01-Dec-2021
RT @HoustonChron: A Houston startup has developed a revolutionary COVID-19 test that can measure immunity levels and determine whether or w?€?,"Texas, USA",01-Dec-2021
"RT @CDCgov: #COVID19 vaccines help protect against COVID-19, including severe illness &amp; death. 

But no vaccine is 100% effective at preven?€?", USA,01-Dec-2021
"Union officials in Western Australia are exempt from the state's vaccine mandate, which goes into effect today, whe?€? https://t.co/VluE9XHra9",USA,01-Dec-2021
"This is unfortunate. St Louis, Mo, and Louisiana courts blocked COVID vaccine mandates just 24 hours before the fir?€? https://t.co/Be8GlxQUfZ",Midwest USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","New York, USA",01-Dec-2021
A short report from September on vaccine production in Africa: https://t.co/ZfkRp08LlO,USA,01-Dec-2021
"????30 days to 2022????: Have you had your Covid-19 vaccine yet? Be sure to get yours immediately if you haven't.

Let's?€? https://t.co/FcKMcd2FNH","Colorado, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Virginia, USA",01-Dec-2021
RT @DHSWI: Your #COVID19_WI update &amp; a thank you to the 1M+ who've gotten an additional/booster dose. It's more important than ever w/varia?€?,"Wisconsin, USA",01-Dec-2021
"RT @SharylAttkisson: Another study (NEJM) finds powerful immunity among those who had Covid. Reinfections extremely rare &amp; ""None led to hos?€?","Wisconsin, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","North Carolina, USA",01-Dec-2021
"?€?This is not about vaccines, it?€?s about the mandates,?€? said @OhioAG Dave Yost.

A judge blocked President Biden?€?s?€? https://t.co/mZYhCrE69W","New York, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","South Carolina, USA",01-Dec-2021
"RT @Melmac_News: 1 part carbonated water, 1 part natural flavors, 4 parts Covid-19 vaccine, and all parts fun!???

https://t.co/iBchfj0peQ????€?","Missouri, USA",01-Dec-2021
RT @latstetter: Anti-vaccine televangelist Marcus Lamb dies of COVID-19 https://t.co/Bp32KCMnbH,"California, USA",01-Dec-2021
"@FoxNews The video in the article, doesn't have anything to do with this. In Europe, where they have green passport?€? https://t.co/mksW9CfsqN","Florida, USA",01-Dec-2021
RT @DrOz: Would a booster dose of the COVID-19 vaccine trigger a more robust immune response against mutant variants? #COVIDNewsMinute http?€?,"Massachusetts, USA",01-Dec-2021
Alberta to offer COVID-19 vaccine boosters to all 18 years and older; 60-plus can book??Thursday https://t.co/tU42SHth8F,USA,01-Dec-2021
"RT @9thfloor: MARCH OF THE ?€?VACCINE?€? DEAD
In Parma, Italy, protesters carry photographs of their loved-ones killed by injection with the ex?€?","Minnesota, USA",01-Dec-2021
"Founder Of Anti-Vaccine Christian TV Network Dies After COVID-19 Fight
https://t.co/puPPtynYIV","North Carolina, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Vermont, USA",01-Dec-2021
RT @NBCNews: Anti-vaccine Christian broadcaster Marcus Lamb dies at age 64 after contracting Covid-19. https://t.co/QOBFJWOOAV,"Massachusetts, USA",01-Dec-2021
"@AConcernedPare2 Even though the ""experts"" have been saying it for months... 

https://t.co/tlCR9dx4ST","Colorado, USA ",01-Dec-2021
RT @BillClinton: Covid-19 is putting two decades of progress in the fight against AIDS at risk. On this #WorldAIDSDay we should take the st?€?,"Tennessee, USA",01-Dec-2021
"RT @andrewbostom: Enjoining Biden?€?s vaccine mandate for healthcare workers, a Federal Judge in Louisiana cites testimony on equivalence/sup?€?",USA ,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Tennessee, USA",01-Dec-2021
"RT @LtGovGray: Booster shots are quick and easy and help protect against COVID-19 and variants.

I passed the 6-month mark and got my boost?€?","Vermont, USA",01-Dec-2021
"RT @washingtonpost: Marcus Lamb, head of Daystar, a large Christian network that discouraged vaccines, dies after getting covid-19 https://?€?","Georgia, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Michigan, USA",01-Dec-2021
"Marcus Lamb, founder of Christian network Daystar and vaccine opponent, dies after contracting COVID-19?€? https://t.co/Up4ONnQVJ5",USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","New Jersey, USA",01-Dec-2021
RT @areck0001: I just don't see how Republicans can hold the country together it's a rapidly aging party of people who are far more likely?€?,"California, USA",01-Dec-2021
"RT @mnhealth: Congratulations to Kaitlyn on getting fully vaccinated against COVID-19 and winning $100,000 for college! ????

There is still t?€?","Minnesota, USA",01-Dec-2021
"@javid_lab @rfsquared @drjohnm Even assuming all will eventually become infected, 1:1 comparison isn't right unless?€? https://t.co/R72ZSufNgt","Pittsburgh, PA, USA",01-Dec-2021
Families who choose not to get the COVID-19 vaccine can celebrate the holidays knowing that they will lose their jo?€? https://t.co/Sp1GoCyD67,"Arizona, USA",01-Dec-2021
Here's why you should be careful who you allow to be judges. Too bad so many people are more concerned with some po?€? https://t.co/0YG12HUJse,USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Texas, USA",01-Dec-2021
NECRONOMICRON: THIS IS MORONIC IS YOUR NAME WRITTEN  https://t.co/McZEietCvJ #Wuhan #covid19 #covid19vaccine?€? https://t.co/BdCUygCCCy,"Earth, USA",01-Dec-2021
RT @CDCgov: Health misinformation about #COVID19 vaccines can cause people to make decisions that may harm them and their families. Make su?€?,Japan-USA,01-Dec-2021
"RT @d_jaishankar: All told, this is remarkable:

Dec 10, 2019: Wei Guixian, perhaps the first identified Covid-19 victim in Wuhan, shows sy?€?","Florida, USA",01-Dec-2021
"RT @blackiowanews: It?€?s beyond annoying when people say you?€?re living in fear of COVID-19, when all you?€?re doing is taking precautions ?€? ma?€?","Iowa, USA",01-Dec-2021
RT @Reuters: Brain problems found in 1% of hospitalized COVID-19 patients; real-world data shows Moderna vaccine highly effective https://t?€?,USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Florida, USA",01-Dec-2021
@anyoneallen @FoxNews Interesting... What are the long term effects of the COVID 19 vaccine?,USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Florida, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,01-Dec-2021
"RT @ALOVEFarmer: ??????
Televangelist Marcus Lamb, the founder of the Daystar Television Network that promoted anti-vaccine messages, died afte?€?","North Carolina, USA",01-Dec-2021
"@scgovEOC Unfortunately not the best of America's fire department. 
https://t.co/KyMXDuArak","California, USA",01-Dec-2021
RT @HonorHealth: We are currently experiencing an unprecedented demand for care. Please help support our healthcare heroes by committing to?€?,"Arizona, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Blue State, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Arkansas, USA",01-Dec-2021
"RT @andrewbostom: Enjoining Biden?€?s vaccine mandate for healthcare workers, a Federal Judge in Louisiana cites testimony on equivalence/sup?€?","Michigan, USA",01-Dec-2021
RT @BillClinton: Covid-19 is putting two decades of progress in the fight against AIDS at risk. On this #WorldAIDSDay we should take the st?€?,Findlay Ohio USA,01-Dec-2021
RT @HHSGov: Amanda thought she?€?d never see her family again after she spent 11 days intubated in a hospital with COVID-19. Her biggest regr?€?,Florida USA,01-Dec-2021
RT @MetroStateU: COVID-19 vaccination greatly reduces the chance of hospitalization and death. The best tool we have to protect ourselves a?€?,"Minnesota, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Texas, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Georgia, USA",01-Dec-2021
What?€?s the latest on the omicron variant in Maryland? We?€?ve got the latest from Governor Hogan?€?s press conference t?€? https://t.co/VmjejaYric,"Maryland, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Puerto Rico, USA",01-Dec-2021
Anti-vaccine televangelist Marcus Lamb dies of COVID-19 https://t.co/cgR97cPD9c,"New Mexico, USA.    navajo",01-Dec-2021
Allegheny County will still enforce midnight deadline for employee COVID-19 vaccination https://t.co/JssaQfUgUC,"Pittsburgh, Pennsylvania, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",Findlay Ohio USA,01-Dec-2021
RT @NBCNews: Anti-vaccine Christian broadcaster Marcus Lamb dies at age 64 after contracting Covid-19. https://t.co/QOBFJWOOAV,"Florida, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Sherman NY, USA",01-Dec-2021
"RT @CDCgov: #COVID19 vaccines help protect against COVID-19, including severe illness &amp; death. 

But no vaccine is 100% effective at preven?€?",Japan-USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","New York, USA",01-Dec-2021
"RT @Enquirer: A federal judge blocked Biden's vaccine mandate for federal contractors from going into effect in Ohio, Kentucky and Tennesse?€?","Tennessee, USA",01-Dec-2021
"RT @Surgeon_General: Please remember, COVID-19 is not harmless in kids. Too many of our children have been hospitalized, lost their lives,?€?","California, USA",01-Dec-2021
RT @Reuters: Brain problems found in 1% of hospitalized COVID-19 patients; real-world data shows Moderna vaccine highly effective https://t?€?,"Virginia, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","South Carolina, USA",01-Dec-2021
"RT @andrewbostom: Enjoining Biden?€?s vaccine mandate for healthcare workers, a Federal Judge in Louisiana cites testimony on equivalence/sup?€?",USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","New York, NY, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","South Carolina, USA",01-Dec-2021
RT @MsResJudicata: A federal judge issued a temporary nationwide block against a Biden administration mandate that millions of healthcare w?€?,Austin Texas USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",OH USA Democrat ,01-Dec-2021
@lindyli Connections to political arguments that factor into legality are religious beliefs human rights in SCOTUS.?€? https://t.co/C2r7LNg9fp,The USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","None ur business, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",01-Dec-2021
"RT @MSNBC: ""[There's] some suggestion that it might invade some of the protection from monoclonal antibodies or convalescent plasma or even?€?",USA,01-Dec-2021
RT @realTuckFrumper: Founder Of Anti-Vaccine Christian TV Network Dies After COVID-19 Fight https://t.co/4dvcSglbR8,"Michigan, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Lakeport, New Hampshire, USA",01-Dec-2021
A third (booster) shot of the Pfizer COVID-19 vaccine appears to reverse the waning protection of the first two sho?€? https://t.co/WdaWTdc3pg,USA,01-Dec-2021
"RT @WPSDLocal6: Marcus Lamb, a co-founder and the CEO of the conservative Christian Daystar Television Network who vocally opposed Covid-19?€?","Kentucky, USA",01-Dec-2021
"RT @seattletimes: The Washington State Department of Health formally launched WA Verify, a digital COVID-19 vaccine verification tool, last?€?","Washington State, USA",01-Dec-2021
"RT @CDCgov: #COVID19 vaccines help protect against COVID-19, including severe illness &amp; death. 

But no vaccine is 100% effective at preven?€?","Virginia, USA",01-Dec-2021
"COVID-19 admissions near all-time high with more than 150 total at 2 Erie hospitals 

Don't be like these people an?€? https://t.co/3uKkezgCSb","PA, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Richmond, Virginia USA",01-Dec-2021
RT @RepBradWenstrup: Great news for the rule of law! I continue to stress that vaccines have undoubtedly saved lives and are an important t?€?,"Ohio, USA",01-Dec-2021
RT @920Wannie: @TIME I vote for TRH The Duke and Duchess of Sussex for their work on getting the Covid-19 vaccine to the those places where?€?,USA,01-Dec-2021
RT @HHSGov: Amanda thought she?€?d never see her family again after she spent 11 days intubated in a hospital with COVID-19. Her biggest regr?€?,"California, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,01-Dec-2021
RT @NBCNews: Anti-vaccine Christian broadcaster Marcus Lamb dies at age 64 after contracting Covid-19. https://t.co/QOBFJWOOAV,"Florida, USA",01-Dec-2021
RT @Reuters: Brain problems found in 1% of hospitalized COVID-19 patients; real-world data shows Moderna vaccine highly effective https://t?€?,"North Dakota, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Alabama, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",Arlington VA USA,01-Dec-2021
RT @HealthcareGlob1: A different type of COVID-19 vaccine is about to roll out around the world https://t.co/fnc64glYhv,USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Arizona, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Oregon, USA",01-Dec-2021
RT @WSJ: Evidence is building that immunity from Covid-19 infection is at least as strong as that from vaccination. Scientists are divided?€?,USA ,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",Gulf Coast USA ,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",Somewhere USA,01-Dec-2021
"RT @joanna_keenan: ""The #Omnicron variant is the inevitable result"" of the strategy of #UK, #EU, #Switzerland and co. to block the IP waive?€?","Florida, USA",01-Dec-2021
RT @RebeccaBellMD: Parents and caregivers: pediatric COVID-19 vaccine appointments available for tomorrow at the Double Tree in South Burli?€?,Vermont USA,01-Dec-2021
"COVID Karma strikes again.

Televangelist Marcus Lamb, the founder of the Daystar Television Network that promoted?€? https://t.co/L3znHRpX08","Burbank, CA - USA",01-Dec-2021
"ICYMI, Vaccine Clinic at Riverbank School on 12/3 from 2-4:30PM. Consent Forms and EUA Fact Sheets are available on?€? https://t.co/wEdsqDrMIM","West Sacramento, CA USA",01-Dec-2021
Link:  https://t.co/FXKJO8SC7H,"Chattanooga, TN, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Wisconsin, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",Tennessee USA,01-Dec-2021
"@Z83Po @TowerT21 @ReportsDaNews Sorry dipshit, 
""The most likely group to refuse the Covid-19 vaccine are Republica?€? https://t.co/P80uQtZktX","Michigan, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Texas, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Michigan, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Utah, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Mukwonago,Wisconsin USA",01-Dec-2021
"RT @andrewpekosz: On Dec. 9 at 8PM Eastern, there will be an @AmerSocVirol COVID-19 Town Hall focused on COVID-19 vaccination and pregnancy?€?","PA, USA",01-Dec-2021
RT @GovLarryHogan: Maryland has now administered more than 1 million COVID-19 booster shots?€?another major milestone as we continue to condu?€?,"Maryland, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Texas, USA",01-Dec-2021
"RT @DearAuntCrabby: Marcus Lamb, head of Daystar, a large Christian network that discouraged vaccines, dies after getting covid-19

Gee ...?€?",USA ,01-Dec-2021
@ghpatrick @DrTomFrieden wake up and join reality: https://t.co/4I7Xcw7SSQ,USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",01-Dec-2021
RT @MarshaBlackburn: Receiving the COVID-19 vaccine is your choice ?€? it?€?s not for the federal government to decide for you.,"Pennsylvania, USA",01-Dec-2021
@CNN @VanJones68 Every time that there is a new variant for COVID-19 like that I?€?m a Cran berry and should we consi?€? https://t.co/qQXzb6nnMa,beloit WI USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Louisville, Kentucky, USA",01-Dec-2021
"RT @JuliaDavisNews: Marcus Lamb, who founded one of the largest Christian TV networks in the world, has died of COVID-19 after promoting an?€?","Arizona, USA",01-Dec-2021
"@DrTomFrieden Meanwhile,in reality land where most of the top scientists/ Experts R censored 4 speaking truth,  fed?€? https://t.co/FDU6cOxV7u",USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Missouri, USA",01-Dec-2021
RT @LouDobbs: Federal courts me to end overdone Biden  fiats and decrees: A federal judge issued a temporary nationwide block against a Bid?€?,USA,01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","New Mexico, USA",01-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Minnesota, USA",01-Dec-2021
RT @HHSGov: Amanda thought she?€?d never see her family again after she spent 11 days intubated in a hospital with COVID-19. Her biggest regr?€?,"Virginia, USA",01-Dec-2021
"11 Australian Nurses Blow the Whistle on Covid Vaccine Side Effects: 

?€?We Were Told Not to Talk About What We Had?€? https://t.co/wx9POnvVmV","Florida, USA",01-Dec-2021
"@FitzgeraldSTA It's not just your tweets. They're removing my likes from the tweets of other people there, too; eve?€? https://t.co/h0Fmv6IdEJ","Central Florida, USA",01-Dec-2021
"RT @dosherfamily: My kids' grandparents had ALL 3 covid-19 vaccine shots and both got covid over Thanksgiving.

The vaccine does not work p?€?","California, USA",01-Dec-2021
